source,event,word,count,position
Gazeta_Wyborcza,zamach_paryz_end,terrorysta,218,6
Gazeta_Wyborcza,zamach_paryz_end,syria,155,7
Gazeta_Wyborcza,zamach_paryz_end,sluzba,152,8
Gazeta_Wyborcza,zamach_paryz_end,minister,152,9
Gazeta_Wyborcza,zamach_paryz_end,francuski,140,10
Gazeta_Wyborcza,zamach_paryz_start,rzad,210,1
Gazeta_Wyborcza,zamach_paryz_start,minister,174,2
Gazeta_Wyborcza,zamach_paryz_start,pis,142,3
Gazeta_Wyborcza,zamach_paryz_start,premiera,120,4
Gazeta_Wyborcza,zamach_paryz_start,sejm,118,5
Gazeta_Wyborcza,zamach_paryz_start,szydlo,95,6
Gazeta_Wyborcza,zamach_paryz_start,listopad,92,7
Gazeta_Wyborcza,zamach_paryz_start,katastrofa,85,8
Gazeta_Wyborcza,zamach_paryz_start,kopacz,81,9
Gazeta_Wyborcza,zamach_paryz_start,rosyjski,81,10
Nasz_Dziennik,afera_podsl_end,prawo,120,1
Nasz_Dziennik,afera_podsl_end,rzad,116,2
Nasz_Dziennik,afera_podsl_end,ukraina,90,3
Nasz_Dziennik,afera_podsl_end,minister,87,4
Nasz_Dziennik,afera_podsl_end,rozmowa,81,5
Nasz_Dziennik,afera_podsl_end,pieniadz,80,6
Nasz_Dziennik,afera_podsl_end,wladza,69,7
Nasz_Dziennik,afera_podsl_end,prokuratura,66,8
Nasz_Dziennik,afera_podsl_end,prezes,64,9
Nasz_Dziennik,afera_podsl_end,tusk,63,10
Nasz_Dziennik,afera_podsl_start,lekarz,147,1
Nasz_Dziennik,afera_podsl_start,prawo,134,2
Nasz_Dziennik,afera_podsl_start,ukraina,92,3
Nasz_Dziennik,afera_podsl_start,sumienie,72,4
Nasz_Dziennik,afera_podsl_start,profesor,72,5
Nasz_Dziennik,afera_podsl_start,rosja,61,6
Nasz_Dziennik,afera_podsl_start,pomoc,57,7
Nasz_Dziennik,afera_podsl_start,ksiadz,53,8
Nasz_Dziennik,afera_podsl_start,aborcja,51,9
Nasz_Dziennik,afera_podsl_start,chazan,50,10
Nasz_Dziennik,janukowycz_end,ukraina,276,1
Nasz_Dziennik,janukowycz_end,zolnierz,142,2
Nasz_Dziennik,janukowycz_end,janukowycz,118,3
Nasz_Dziennik,janukowycz_end,rosyjski,114,4
Nasz_Dziennik,janukowycz_end,rosja,106,5
Nasz_Dziennik,janukowycz_end,prawo,99,6
Nasz_Dziennik,janukowycz_end,ukrainski,95,7
Nasz_Dziennik,janukowycz_end,wladza,90,8
Nasz_Dziennik,janukowycz_end,rzad,82,9
Nasz_Dziennik,janukowycz_end,wyklac,80,10
Nasz_Dziennik,janukowycz_start,ukraina,107,1
Nasz_Dziennik,janukowycz_start,prawo,89,2
Nasz_Dziennik,janukowycz_start,rzad,69,3
Nasz_Dziennik,janukowycz_start,wladza,62,4
Nasz_Dziennik,janukowycz_start,program,60,5
Nasz_Dziennik,janukowycz_start,opozycja,57,6
Nasz_Dziennik,janukowycz_start,zolnierz,57,7
Nasz_Dziennik,janukowycz_start,lotnisko,56,8
Nasz_Dziennik,janukowycz_start,ksiadz,54,9
Nasz_Dziennik,janukowycz_start,srodek,53,10
Nasz_Dziennik,jp2_swiety_end,ukraina,67,1
Nasz_Dziennik,jp2_swiety_end,rosyjski,57,2
Nasz_Dziennik,jp2_swiety_end,rosja,43,3
Nasz_Dziennik,jp2_swiety_end,wielki,43,4
Nasz_Dziennik,jp2_swiety_end,minister,40,5
Nasz_Dziennik,jp2_swiety_end,prawo,38,6
Nasz_Dziennik,jp2_swiety_end,wladza,37,7
Nasz_Dziennik,jp2_swiety_end,ksiadz,37,8
Nasz_Dziennik,jp2_swiety_end,swiety,37,9
Nasz_Dziennik,jp2_swiety_end,pomoc,37,10
Nasz_Dziennik,jp2_swiety_start,pawel,84,1
Nasz_Dziennik,jp2_swiety_start,swiety,69,2
Nasz_Dziennik,jp2_swiety_start,ukraina,66,3
Nasz_Dziennik,jp2_swiety_start,rzad,51,4
Nasz_Dziennik,jp2_swiety_start,polak,47,5
Nasz_Dziennik,jp2_swiety_start,minister,47,6
Nasz_Dziennik,jp2_swiety_start,wielki,42,7
Nasz_Dziennik,jp2_swiety_start,papiez,42,8
Nasz_Dziennik,jp2_swiety_start,rosja,41,9
Nasz_Dziennik,jp2_swiety_start,wladza,40,10
Nasz_Dziennik,kopacz_start_end,konwencja,112,1
Nasz_Dziennik,kopacz_start_end,rodzina,99,2
Nasz_Dziennik,kopacz_start_end,zolnierz,92,3
Nasz_Dziennik,kopacz_start_end,przemoc,91,4
Nasz_Dziennik,kopacz_start_end,wojskowy,90,5
Nasz_Dziennik,kopacz_start_end,warszawa,81,6
Nasz_Dziennik,kopacz_start_end,ustawa,73,7
Nasz_Dziennik,kopacz_start_end,prawo,71,8
Nasz_Dziennik,kopacz_start_end,kobieta,67,9
Nasz_Dziennik,kopacz_start_end,wrzesien,64,10
Nasz_Dziennik,kopacz_start_start,rzad,90,1
Nasz_Dziennik,kopacz_start_start,rosja,77,2
Nasz_Dziennik,kopacz_start_start,zolnierz,72,3
Nasz_Dziennik,kopacz_start_start,prawo,70,4
Nasz_Dziennik,kopacz_start_start,polak,67,5
Nasz_Dziennik,kopacz_start_start,profesor,60,6
Nasz_Dziennik,kopacz_start_start,rodzina,59,7
Nasz_Dziennik,kopacz_start_start,rosyjski,58,8
Nasz_Dziennik,kopacz_start_start,ukraina,56,9
Nasz_Dziennik,kopacz_start_start,minister,55,10
Nasz_Dziennik,krym_ref_end,rosja,221,1
Nasz_Dziennik,krym_ref_end,ukraina,182,2
Nasz_Dziennik,krym_ref_end,rosyjski,161,3
Nasz_Dziennik,krym_ref_end,krym,151,4
Nasz_Dziennik,krym_ref_end,minister,99,5
Nasz_Dziennik,krym_ref_end,prawo,86,6
Nasz_Dziennik,krym_ref_end,rodzina,81,7
Nasz_Dziennik,krym_ref_end,putin,79,8
Nasz_Dziennik,krym_ref_end,rzad,73,9
Nasz_Dziennik,krym_ref_end,ukrainski,70,10
Nasz_Dziennik,krym_ref_start,urodzony,249,1
Nasz_Dziennik,krym_ref_start,powiat,209,2
Nasz_Dziennik,krym_ref_start,ukraina,174,3
Nasz_Dziennik,krym_ref_start,zonaty,141,4
Nasz_Dziennik,krym_ref_start,zamieszkaly,141,5
Nasz_Dziennik,krym_ref_start,rzad,133,6
Nasz_Dziennik,krym_ref_start,rosja,130,7
Nasz_Dziennik,krym_ref_start,rosyjski,128,8
Nasz_Dziennik,krym_ref_start,krym,107,9
Nasz_Dziennik,krym_ref_start,kawaler,100,10
Nasz_Dziennik,obama_pol_end,ukraina,195,1
Nasz_Dziennik,obama_pol_end,rosyjski,151,2
Nasz_Dziennik,obama_pol_end,rosja,146,3
Nasz_Dziennik,obama_pol_end,krym,124,4
Nasz_Dziennik,obama_pol_end,rzad,109,5
Nasz_Dziennik,obama_pol_end,wladza,88,6
Nasz_Dziennik,obama_pol_end,ukrainski,82,7
Nasz_Dziennik,obama_pol_end,minister,82,8
Nasz_Dziennik,obama_pol_end,zolnierz,78,9
Nasz_Dziennik,obama_pol_end,wojskowy,74,10
Nasz_Dziennik,obama_pol_start,ukraina,397,1
